"Season","Colony","ring","sex","Mate_ID","Focal_Seasons","Mate_Seasons","Mate_min_Seasons","Focal_min_Seasons","predation","Pair","julian_date_first","days_to_last_brood","total_pair_duration","total_pair_duration_nogaps","N_Clutches_Pair","N_Clutches_Focal","breeding_exp_pair_nogaps","breeding_exp_Focal","breeding_exp_Focal_nogaps","breeding_exp_Mate","breeding_exp_Mate_nogaps","breeding_exp_Focal_days_season","breeding_exp_Mate_days_season","N_of_life_partners_Focal","N_of_life_partners_Mate","breeding_exp_pair_days_season","tot_fitness","N_eggs_season","Season_Focal","Season_Mate","season_length_population","recruitment_age_Focal","recruitment_age_Mate","Clutch_size_pair_season_mean","N_Clutches_Mate","N_Clutches_Pair_succ","N_hatched","lifespan_min_Focal","lifespan_min_Mate","lifespan_exact_Focal","lifespan_exact_Mate","prop_succ_breeding_attempt","Focal.cohort","Mate.cohort","season_length","season_of_protection","Col_Size","season_start","Min_Age_Focal_season_days","Min_Age_Mate_season_days","breeding_exp_pair_days_season_earliest","breeding_exp_Focal_days_season_earliest","breeding_exp_Mate_days_season_earliest","Min_Age_Focal_season_days_earliest","Min_Age_Mate_season_days_earliest"
"2015/2016",11,"BH85251","1","BH88661",4,NA,5,5,"protected","BH88661_BH85251",113,209,3,3,1,1,3,3,3,3,3,833,833,1,1,833,3,4,"2015/2016_BH85251","2015/2016_BH88661",321,3,NA,4,1,1,4,5,5,5,NA,1,2011,NA,209,6,59,"2016-01-22",1828,1962,833,833,833,1828,1962
"2015/2016",11,"BH85311","1","BH94562",4,NA,4,5,"protected","BH94562_BH85311",7,34,4,4,7,7,3,3,3,3,3,945,945,2,2,945,0,24,"2015/2016_BH85311","2015/2016_BH94562",321,3,NA,3.5,7,NA,4,7,6,7,NA,NA,2011,NA,315,6,59,"2015-10-08",1985,1618,664,664,664,1704,1337
"2015/2016",11,"BH85311","1","BH94562",4,NA,4,5,"protected","BH94562_BH85311",7,34,4,4,7,7,3,3,3,3,3,945,945,2,2,945,0,24,"2015/2016_BH85311","2015/2016_BH94562",321,3,NA,3.5,7,NA,3,7,6,7,NA,NA,2011,NA,315,6,59,"2015-10-08",1985,1618,664,664,664,1704,1337
"2015/2016",11,"BH85311","1","BH94562",4,NA,4,5,"protected","BH94562_BH85311",7,34,4,4,7,7,3,3,3,3,3,945,945,2,2,945,0,24,"2015/2016_BH85311","2015/2016_BH94562",321,3,NA,3.5,7,NA,0,7,6,7,NA,NA,2011,NA,315,6,59,"2015-10-08",1985,1618,664,664,664,1704,1337
"2015/2016",11,"BH85311","1","BH94562",4,NA,4,5,"protected","BH94562_BH85311",7,34,4,4,7,7,3,3,3,3,3,945,945,2,2,945,0,24,"2015/2016_BH85311","2015/2016_BH94562",321,3,NA,3.5,7,NA,NA,7,6,7,NA,NA,2011,NA,315,6,59,"2015-10-08",1985,1618,664,664,664,1704,1337
"2015/2016",11,"BH85272","1","BH88703",4,NA,4,5,"protected","BH88703_BH85272",12,33,3,4,6,6,3,2,3,4,4,801,1356,1,4,801,4,16,"2015/2016_BH85272","2015/2016_BH88703",321,3,NA,3,6,2,3,6,7,6,NA,0.333333333333333,2011,NA,310,6,59,"2015-10-13",1995,1783,524,524,1079,1718,1506
"2015/2016",11,"BH85272","1","BH88703",4,NA,4,5,"protected","BH88703_BH85272",12,33,3,4,6,6,3,2,3,4,4,801,1356,1,4,801,4,16,"2015/2016_BH85272","2015/2016_BH88703",321,3,NA,3,6,2,2,6,7,6,NA,0.333333333333333,2011,NA,310,6,59,"2015-10-13",1995,1783,524,524,1079,1718,1506
"2015/2016",11,"BH85272","1","BH88703",4,NA,4,5,"protected","BH88703_BH85272",12,33,3,4,6,6,3,2,3,4,4,801,1356,1,4,801,4,16,"2015/2016_BH85272","2015/2016_BH88703",321,3,NA,3,6,2,NA,6,7,6,NA,0.333333333333333,2011,NA,310,6,59,"2015-10-13",1995,1783,524,524,1079,1718,1506
"2015/2016",11,"BH85272","1","BH88703",4,NA,4,5,"protected","BH88703_BH85272",12,33,3,4,6,6,3,2,3,4,4,801,1356,1,4,801,4,16,"2015/2016_BH85272","2015/2016_BH88703",321,3,NA,3,6,2,4,6,7,6,NA,0.333333333333333,2011,NA,310,6,59,"2015-10-13",1995,1783,524,524,1079,1718,1506
"2015/2016",11,"BH85272","1","BH88703",4,NA,4,5,"protected","BH88703_BH85272",12,33,3,4,6,6,3,2,3,4,4,801,1356,1,4,801,4,16,"2015/2016_BH85272","2015/2016_BH88703",321,3,NA,3,6,2,0,6,7,6,NA,0.333333333333333,2011,NA,310,6,59,"2015-10-13",1995,1783,524,524,1079,1718,1506
"2015/2016",11,"BH85273","1","BH88713",4,NA,4,5,"protected","BH88713_BH85273",13,123,3,4,3,3,3,2,3,3,3,846,846,2,2,846,4,9,"2015/2016_BH85273","2015/2016_BH88713",321,3,NA,3,3,2,3,7,6,7,NA,0.666666666666667,2011,NA,309,6,59,"2015-10-14",1905,1693,660,660,660,1719,1507
"2015/2016",20,"BH85277","1","BJ12632",4,NA,1,5,"natural","BJ12632_BH85277",10,79,2,2,5,6,1,3,3,1,1,881,233,2,2,233,0,15,"2015/2016_BH85277","2015/2016_BJ12632",321,3,NA,3.4,5,NA,0,6,3,6,NA,NA,2011,NA,312,NA,42,"2015-10-11",1946,639,0,648,0,1713,406
